total_annual_cost,investment_cost,operational_cost,gas_import_mwh,elec_import_mwh,solve_time,gas_invested_capacity_mw,num_days
134259489.13,32390.88,134227098.25,0.0,367947.09,0.61,0.0,2
109603644.72,32390.88,109571253.84,0.0,300359.8,1.24,0.0,4
120771399.5,34544.45,120736855.05,0.0,330967.26,2.13,0.0,6
120256069.47,39035.9,120217033.57,0.0,329542.31,3.17,0.0,8
110341993.69,34548.96,110307444.73,0.0,302377.86,4.38,0.0,10
116046682.67,38034.92,116008647.75,0.0,318006.16,6.81,0.0,12
115187920.19,36570.08,115151350.11,0.0,315656.11,8.53,0.0,14
115642567.79,37696.18,115604871.61,0.0,316899.32,11.37,0.0,16
115105623.59,37893.45,115067730.14,0.0,315426.89,12.45,0.0,18
114527085.54,36668.71,114490416.83,0.0,313844.34,14.55,0.0,20
116390458.21,38569.22,116351888.99,0.0,318947.06,31.17,0.0,30
115336676.28,39406.75,115297269.53,0.0,316056.11,132.24,0.0,50
