total_annual_cost,investment_cost,operational_cost,gas_import_mwh,elec_import_mwh,solve_time,gas_invested_capacity_mw,gas_price_multiplier,gas_invest_multiplier
120256069.47,39035.9,120217033.57,0.0,329542.31,3.57,0.0,1.0,1.0
120256069.47,39035.9,120217033.57,0.0,329542.31,3.75,0.0,1.0,0.9
120256069.47,39035.9,120217033.57,0.0,329542.31,3.73,0.0,1.0,0.8
120256069.47,39035.9,120217033.57,0.0,329542.31,3.52,0.0,1.0,0.7
120256069.47,39035.9,120217033.57,0.0,329542.31,4.04,0.0,1.0,0.6
120256069.47,39035.9,120217033.57,0.0,329542.31,3.96,0.0,1.0,0.5
120256069.47,39035.9,120217033.57,0.0,329542.31,3.49,0.0,1.0,0.4
120256069.47,39035.9,120217033.57,0.0,329542.31,3.18,0.0,1.0,0.3
120256069.47,39035.9,120217033.57,0.0,329542.31,3.28,0.0,1.0,0.2
120256069.47,39035.9,120217033.57,0.0,329542.31,3.29,0.0,1.0,0.1
120256069.47,39035.9,120217033.57,0.0,329542.31,3.2,0.0,1.0,0.0
120256069.47,39035.9,120217033.57,0.0,329542.31,3.28,0.0,0.9,1.0
120256069.47,39035.9,120217033.57,0.0,329542.31,3.29,0.0,0.9,0.9
120256069.47,39035.9,120217033.57,0.0,329542.31,3.84,0.0,0.9,0.8
120256069.47,39035.9,120217033.57,0.0,329542.31,3.61,0.0,0.9,0.7
120256069.47,39035.9,120217033.57,0.0,329542.31,3.54,0.0,0.9,0.6
120256069.47,39035.9,120217033.57,0.0,329542.31,3.49,0.0,0.9,0.5
120256069.47,39035.9,120217033.57,0.0,329542.31,4.4,0.0,0.9,0.4
120256069.47,39035.9,120217033.57,0.0,329542.31,3.65,0.0,0.9,0.3
120256069.47,39035.9,120217033.57,0.0,329542.31,3.65,0.0,0.9,0.2
120256069.47,39035.9,120217033.57,0.0,329542.31,3.48,0.0,0.9,0.1
120256069.47,39035.9,120217033.57,0.0,329542.31,3.9,0.0,0.9,0.0
120256069.47,39035.9,120217033.57,0.0,329542.31,3.55,0.0,0.8,1.0
120256069.47,39035.9,120217033.57,0.0,329542.31,3.63,0.0,0.8,0.9
120256069.47,39035.9,120217033.57,0.0,329542.31,3.55,0.0,0.8,0.8
120256069.47,39035.9,120217033.57,0.0,329542.31,3.96,0.0,0.8,0.7
120256069.47,39035.9,120217033.57,0.0,329542.31,3.59,0.0,0.8,0.6
120256069.47,39035.9,120217033.57,0.0,329542.31,3.66,0.0,0.8,0.5
120256069.47,39035.9,120217033.57,0.0,329542.31,3.52,0.0,0.8,0.4
120256069.47,39035.9,120217033.57,0.0,329542.31,4.16,0.0,0.8,0.3
120256069.47,39035.9,120217033.57,0.0,329542.31,3.53,0.0,0.8,0.2
120256069.47,39035.9,120217033.57,0.0,329542.31,3.44,0.0,0.8,0.1
120256069.47,39035.9,120217033.57,0.0,329542.31,3.43,0.0,0.8,0.0
120256069.47,39035.9,120217033.57,0.0,329542.31,3.97,0.0,0.7,1.0
120256069.47,39035.9,120217033.57,0.0,329542.31,3.54,0.0,0.7,0.9
120256069.47,39035.9,120217033.57,0.0,329542.31,3.44,0.0,0.7,0.8
120256069.47,39035.9,120217033.57,0.0,329542.31,3.51,0.0,0.7,0.7
120256069.47,39035.9,120217033.57,0.0,329542.31,3.95,0.0,0.7,0.6
120256069.47,39035.9,120217033.57,0.0,329542.31,3.46,0.0,0.7,0.5
120256069.47,39035.9,120217033.57,0.0,329542.31,3.8,0.0,0.7,0.4
120256069.47,39035.9,120217033.57,0.0,329542.31,3.73,0.0,0.7,0.3
120256069.47,39035.9,120217033.57,0.0,329542.31,4.02,0.0,0.7,0.2
120256069.47,39035.9,120217033.57,0.0,329542.31,3.53,0.0,0.7,0.1
120256069.47,39035.9,120217033.57,0.0,329542.31,3.53,0.0,0.7,0.0
116232362.65,27282.29,116205080.36,379306.98,139496.76,3.53,136.0,0.6,1.0
116232016.6,26936.23,116205080.36,379306.98,139496.76,3.56,136.0,0.6,0.9
116231670.54,26590.18,116205080.36,379306.98,139496.76,3.47,136.0,0.6,0.8
116231324.49,26244.12,116205080.36,379306.98,139496.76,3.73,136.0,0.6,0.7
116230978.43,25898.07,116205080.36,379306.98,139496.76,3.61,136.0,0.6,0.6
116230632.37,25552.01,116205080.36,379306.98,139496.76,3.53,136.0,0.6,0.5
116230286.32,25205.96,116205080.36,379306.98,139496.76,3.99,136.0,0.6,0.4
116229940.26,24859.9,116205080.36,379306.98,139496.76,3.7,136.0,0.6,0.3
116229594.21,24513.85,116205080.36,379306.98,139496.76,3.51,136.0,0.6,0.2
116229248.15,24167.79,116205080.36,379306.98,139496.76,3.52,136.0,0.6,0.1
116228902.1,23821.74,116205080.36,379306.98,139496.76,3.99,136.0,0.6,0.0
104492959.28,27836.11,104465123.17,450181.2,109276.65,3.74,120.0,0.5,1.0
104492653.93,27530.77,104465123.17,450181.2,109276.65,3.64,120.0,0.5,0.9
104492348.59,27225.42,104465123.17,450181.2,109276.65,3.69,120.0,0.5,0.8
104492185.74,27062.57,104465123.17,450181.2,109276.65,4.04,128.0,0.5,0.7
104491860.04,26736.87,104465123.17,450181.2,109276.65,3.61,128.0,0.5,0.6
104491534.34,26411.18,104465123.17,450181.2,109276.65,3.63,128.0,0.5,0.5
104491208.65,26085.48,104465123.17,450181.2,109276.65,3.83,128.0,0.5,0.4
104490821.88,25698.71,104465123.17,450181.2,109276.65,4.13,120.0,0.5,0.3
104490516.53,25393.37,104465123.17,450181.2,109276.65,3.62,120.0,0.5,0.2
104490211.19,25088.02,104465123.17,450181.2,109276.65,3.9,120.0,0.5,0.1
104489905.85,24782.68,104465123.17,450181.2,109276.65,3.85,148.0,0.5,0.0
91572556.67,27836.11,91544720.56,450196.9,109271.15,4.79,120.0,0.4,1.0
91572251.32,27530.77,91544720.56,450196.9,109271.15,4.39,120.0,0.4,0.9
91571945.98,27225.42,91544720.56,450196.9,109271.15,4.59,120.0,0.4,0.8
91571582.39,26920.08,91544662.31,450201.42,109269.57,4.8,120.0,0.4,0.7
91571277.04,26614.74,91544662.31,450201.42,109269.57,4.59,120.0,0.4,0.6
91570971.7,26309.39,91544662.31,450201.42,109269.57,4.68,120.0,0.4,0.5
91570666.36,26004.05,91544662.31,450201.42,109269.57,5.03,120.0,0.4,0.4
91570419.27,25698.71,91544720.56,450196.9,109271.15,4.59,120.0,0.4,0.3
91570113.92,25393.37,91544720.56,450196.9,109271.15,4.57,120.0,0.4,0.2
91570010.83,25088.02,91544922.81,450181.2,109276.65,4.67,120.0,0.4,0.1
91569705.49,24782.68,91544922.81,450181.2,109276.65,4.91,146.0,0.4,0.0
