hour,elec_load(MW),heating_load(MW),cooling_load(MW),elec_price(HKD/MWh),gas_price(HKD/m^3)
0,24.72748725,44.17295921,0,364.8,2.87
1,22.87612032,44.86829803,0,364.8,2.87
2,22.04428531,45.63579079,0,364.8,2.87
3,21.63342476,46.48138816,0,364.8,2.87
4,21.47960717,47.03991513,0,364.8,2.87
5,21.75313626,47.61473092,0,364.8,2.87
6,23.03823767,48.1231125,0,364.8,2.87
7,25.43156046,48.36710724,0,864.5,2.87
8,28.11480775,48.94437434,0,864.5,2.87
9,31.64390439,42.35951842,0,864.5,2.87
10,32.83736834,37.31256118,0,1390.2,2.87
11,33.3245821,33.75765592,0,1390.2,2.87
12,32.23572681,31.17849868,0,1390.2,2.87
13,30.76154519,29.35589211,0,1390.2,2.87
14,30.76637538,29.40440329,0,1390.2,2.87
15,30.69798177,32.09452697,0,864.5,2.87
16,31.70647003,37.18637171,0,864.5,2.87
17,33.64881679,40.06956316,0,864.5,2.87
18,35.02873043,41.05325132,0,1390.2,2.87
19,34.39218911,41.72325987,0,1390.2,2.87
20,33.87901027,42.42636118,0,1390.2,2.87
21,32.92818943,42.87443684,0,864.5,2.87
22,31.42003777,42.61960658,0,864.5,2.87
23,28.34951394,42.64129539,0,364.8,2.87
24,27.25384581,43.92338684,0,364.8,2.87
25,25.21332837,44.78113421,0,364.8,2.87
26,24.29650643,45.63747829,0,364.8,2.87
27,23.84366907,46.46886513,0,364.8,2.87
28,23.67413624,47.24708684,0,364.8,2.87
29,23.97561125,47.90160592,0,364.8,2.87
30,25.39200893,48.37518947,0,364.8,2.87
31,28.02985278,48.69615197,0,864.5,2.87
32,30.98724216,44.98750658,0,864.5,2.87
33,34.87689963,38.61547105,0,864.5,2.87
34,36.19229744,33.65324408,0,1390.2,2.87
35,36.72928887,29.82013224,0,1390.2,2.87
36,35.52918738,27.38968816,0,1390.2,2.87
37,33.90439154,26.24685987,0,1390.2,2.87
38,33.90971521,26.31624276,0,1390.2,2.87
39,33.83433396,28.61415592,0,864.5,2.87
40,34.94585748,33.91665395,0,864.5,2.87
41,37.08664997,35.91614605,0,864.5,2.87
42,38.60754666,37.01316316,0,1390.2,2.87
43,37.90597117,38.49361579,0,1390.2,2.87
44,37.34036187,39.73570461,0,1390.2,2.87
45,36.29239754,40.80344803,0,864.5,2.87
46,34.63016101,42.00590724,0,864.5,2.87
47,31.24592781,43.30984737,0,364.8,2.87
48,26.82935446,44.44038355,0,364.8,2.87
49,24.82061903,45.33813355,0,364.8,2.87
50,23.91807701,46.24146118,0,364.8,2.87
51,23.47229281,46.97994671,0,364.8,2.87
52,23.30540053,47.06007632,0,364.8,2.87
53,23.60217993,46.29432434,0,364.8,2.87
54,24.99651655,45.90824211,0,364.8,2.87
